,unnormalized,normalized
520,For john to love MARy WoUld be dbtfl .,For John to love Mary would be doubtful.
521,To go abroad Would b nice .,To go abroad would be nice.
522,Johns plan t go abroad is nice .,Johns plan to go abroad is nice.
523,Mary beileveD Jhn to have loved her .,Mary believed John to have loved her.
524,Mary considered JohN too have loved her .,Mary considered John to have loved her.
525,Mary repotred John to hv loved her .,Mary reported John to have loved her.
526,Mry tried to go abroad .,Mary tried to go abroad.
527,Maryyy intended to go abroad .,Mary intended to go abroad.
528,Mary mAnAged to go abroad .,Mary managed to go abroad.
529,Maryyyyyyyy desired to g abroad .,Mary desired to go abroad.
530,Mary believed Him to have lved her .,Mary believed him to have loved her.
531,Mary consdered him to have loved her .,Mary considered him to have loved her.
532,It isss certain that Jonhnnnn hs loved Marryy .,It is certain that John has loved Mary.
533,It is likly that John has lovvved Maryy .,It is likely that John has loved Mary.
534,Thre are straangers in that gardEn .,There are strangers in that garden.
535,There ar arriving three men at that staton .,There are arriving three men at that station.
536,I cnsider there to b a man in tht garden .,I consider there to be a man in that garden.
537,tHey alleged there tttooo hv been many strangrs in th8 garden .,They alleged there to have been many strangers in that garden.
538,John wageredd there to have been a strangr in that haunted house .,John wagered there to have been a stranger in that haunted house.
539,John tried to kiSS Mry .,John tried to kiss Mary.
540,John persuaded MaRy to kiss hiM .,John persuaded Mary to kiss him.
541,Jhn told May t kiss him .,John told Mary to kiss him.
542,It is illegal to park heree .,It is illegal to park here.
543,I rmembRd him having kissedddd Maryyyy .,I remembered him having kissed Mary.
544,I reported him having kissed Mry .,I reported him having kissed Mary.
545,I reported having kissed Maryyyyyy .,I reported having kissed Mary.
546,I enjoy taking a bath .,I enjoy taking a bath.
547,I detest takng a bath .,I detest taking a bath.
548,I saw him kissing Maryyy .,I saw him kissing Mary.
549,I noticd himmmm kscing Mary .,I noticed him kissing Mary.
550,JohnS refusing th offer isss shocking .,Johns refusing the offer is shocking.
551,the enemys dstrying the city was hoRrifIc .,the enemys destroying the city was horrific.
552,Johns refsl of the offer was sHOckiNg .,Johns refusal of the offer was shocking.
553,the enemys destruction offf the cityy was horrfc .,the enemys destruction of the city was horrific.
554,"I often send Mary hHhoMeeee drunk , and she gets there jjustt fine .","I often send Mary home drunk, and she gets there just fine."
555,"I dont think Fred will , ither .","I dont think Fred will, either."
556,"José liks cabbage , and Holly does too .","José likes cabbage, and Holly does too."
557,"Joséé te cabbage , and Holly has too .","José ate cabbage, and Holly has too."
558,"José s eating cabbagee , and Hollyy is too .","José is eating cabbage, and Holly is too."
559,John is leaving but Marys not .,John is leaving but Marys not.
560,I conider Bill itelligent aNd I cncider Sally not .,I consider Bill intelligent and I consider Sally not.
561,"Jhn wants to g on vacation , but he doesnt know when tO .","John wants to go on vacation, but he doesnt know when to."
562,"Slly might haveeee eatennnn cabbage , but Holly shuoldnt .","Sally might have eaten cabbage, but Holly shouldnt."
563,"José asks tht we goo to te meting , d SlAly will tell us when .","José asks that we go to the meeting, and Sally will tell us when."
564,Its to Mry dat Joe sid Holly cnnn tallk .,Its to Mary that Joe said Holly can talk.
565,"Maryy claimed that eaten cabbage , Holly hasnt .","Mary claimed that eaten cabbage, Holly hasnt."
566,"Mary claimed tht eatting cabbage , Hollyssss not .","Mary claimed that eating cabbage, Hollys not."
567,"Mary claimed that eT cabbaGe , Holly wants t .","Mary claimed that eat cabbage, Holly wants to."
568,"John didnt ht a home run , but I know a woman who did .","John didnt hit a home run, but I know a woman who did."
569,"That Betsy wn the batting crown iss not surprisIg , buttt that Peter didnt know sh dd is surprising .","That Betsy won the batting crown is not surprising, but that Peter didnt know she did is surprising."
570,"Lillly decided that atinggg cbbag , she shuold be .","Lilly decided that eating cabbage, she should be."
571,"Read Freds story , I also wantt to .","Read Freds story, I also want to."
572,Mag Wildwood came 2 ntroduce de bartender but I came nt to .,Mag Wildwood came to introduce the bartender but I came not to.
573,Mag Wldwod came 2 introduce the bartender but I came precisely nt to .,Mag Wildwood came to introduce the bartender but I came precisely not to.
574,You sholudd unload rfles bbbecas not to s is dangerous .,You should unload rifles because not to s is dangerous.
575,"Ifff ROn kws whether to wear a tuxdeo , and CasssPar knowss whether not to , d they knowww diffeeeerentttt things ?","If Ron knows whether to wear a tuxedo, and Caspar knows whether not to, do they know different things?"
576,Lucy recounted A story tooooo remember because Holly had recntd as stry not to .,Lucy recounted a story to remember because Holly had recounted as story not to.
577,Did Hrary leave ?,Did Harry leave?
578,Does Joe sing ?,Does Joe sing?
579,Everyy man who said he would buy some salmon did .,Every man who said he would buy some salmon did.
580,I visited every twnn I had 2 .,I visited every town I had to.
581,every towwn in evry country I had to I visited .,Every town in every country I had to I visited.
582,Evry man who said he wod buy sOme salmon did buy some salmon .,Every man who said he would buy some salmon did buy some salmon.
583,Lilly should buy salmon and Mary shlod 2o .,Lilly should buy salmon and Mary should too.
584,Lllyyy should buy salmn and Mary shoUld buy salmon too .,Lilly should buy salmon and Mary should buy salmon too.
585,"Joesss neuroses bther hisss patrons , ad Sallys nrosees do too .","Joes neuroses bother his patrons, and Sallys neuroses do too."
586,"Joe likess his bar , and Sallys patrons d toooo .","Joe likes his bar, and Sallys patrons do too."
587,Every picture of itselfff arrvD .,Every picture of itself arrived.
588,My uncle doesnt have a sopouse but yourr aunttt does and He is lying on the flor .,My uncle doesnt have a spouse but your aunt does and he is lying on the floor.
589,"I know wich book Max read , and whch bookkkk Oscar Didnt .","I know which book Max read, and which book Oscar didnt."
590,"This is de book of which bIll approves , and this is de one of which he doesnt .","This is the book of which Bill approves, and this is the one of which he doesnt."
591,DUlles suspected veryne who Anglton did .,Dulles suspected everyone who Angleton did.
592,"While Bob red FFFred , he didnt Dickens .","While Bob read Fred, he didnt Dickens."
593,"Sally suspected J , but he didnt Holly .","Sally suspected Joe, but he didnt Holly."
594,Sally will stnnd nearr every woman th8 you will .,Sally will stand near every woman that you will.
595,"I know which womn Holly will dscsss a report about , but I dont know which woman you willll .","I know which woman Holly will discuss a report about, but I dont know which woman you will."
596,"While Truman didnt visit me , he did yo .","While Truman didnt visit me, he did you."
597,"Whileeee Truman didnt tell me a story , he dd Rusty .","While Truman didnt tell me a story, he did Rusty."
598,"Whileeee José wont talk about Mag , he might about Holly .","While José wont talk about Mag, he might about Holly."
599,"Although Doc mite tell it too you , he wont 2 meee .","Although Doc might tell it to you, he wont to me."
600,I thik you ned to sw yourself more tHn you do anyone else .,I think you need to show yourself more than you do anyone else.
601,"While Trumn doesntt want to visit every city , he des Barcelona .","While Truman doesnt want to visit every city, he does Barcelona."
602,"Fred likes ggplants , although he likes cabbage too .","Fred likes eggplants, although he likes cabbage too."
603,"Although he likEs cbbge Too , Fred likes eggplants .","Although he likes cabbage too, Fred likes eggplants."
604,Fred gave flowers to his sweetie because Farnk had .,Fred gave flowers to his sweetie because Frank had.
605,"ChIa is a country that Joe wants to visit , and he will too , if he gets enogh money .","China is a country that Joe wants to visit, and he will too, if he gets enough money."
606,"Jerry wouldnt read a book by Babelll , but Meryl has doneeeee so and it was pretty god .","Jerry wouldnt read a book by Babel, but Meryl has done so and it was pretty good."
607,"Joe mite wish h had , bt this isnt a country he has visted .","Joe might wish he had, but this isnt a country he has visited."
608,"While I might wnt T , this is the kinD of thing that Harris hs alraedy suggested .","While I might want to, this is the kind of thing that Harris has already suggested."
609,We likeee our ffffriendsssss and theY do t .,We like our friends and they do too.
610,Wee like our friends and they like our frnds too .,We like our friends and they like our friends too.
611,"We liKe our fRiends and they like thir frends , too .","We like our friends and they like their friends, too."
612,Rusty talked about hmslf only after Holly diddddd .,Rusty talked about himself only after Holly did.
613,"I cld fnd no soltin , but Holly mighttt .","I could find no solution, but Holly might."
614,Fred talked about everything bfor Rusty did .,Fred talked about everything before Rusty did.
615,"Joe wll go to the store , even though Fred already hs .","Joe will go to the store, even though Fred already has."
616,"Today there Is little or no ofFiCial harassment f leSbians andddd gays by th natnal governmnt , althoughh autonomous GvernmeNtss might .","Today there is little or no official harassment of lesbians and gays by the national government, although autonomous governments might."
617,"The cnadidate was dogged by charges of infidelity And ading the draft , or at least trng toooo .","The candidate was dogged by charges of infidelity and avoiding the draft, or at least trying to."
618,"This infromation could have been released by Grbachv , but he chsoe not to .","This information could have been released by Gorbachev, but he chose not to."
619,"A lt of ths materal can be presnted In a fairly informal Nd accessible fashion , aNd often I do .","A lot of this material can be presented in a fairly informal and accessible fashion, and often I do."
620,Jhn does not lk marY .,John does not like Mary.
621,John tries to often meet Mary .,John tries to often meet Mary.
622,Jhn tries not tO meet Mary .,John tries not to meet Mary.
623,Is Mary runinngg the maradon ?,Is Mary running the marathon?
624,Mary is often rnning de mraThon .,Mary is often running the marathon.
625,Mary is not running theee marathon .,Mary is not running the marathon.
626,"I didntt , as Bill had thoUghT , go tooo the stre .","I didnt, as Bill had thought, go to the store."
627,"I did , as Bill had doguhttttt , go to the store .","I did, as Bill had thought, go to the store."
628,de writers could so believe the boy .,The writers could so believe the boy.
629,The rtres did so belIEve th boy .,The writers did so believe the boy.
630,Rome destroyed Carthage .,Rome destroyed Carthage.
631,Romssss destruction of Carthage ws horrific .,Romes destruction of Carthage was horrific.
632,John boughttt the picture of himself that Bill saw .,John bought the picture of himself that Bill saw.
633,The preception f thee problem is quitee thorough .,The perception of the problem is quite thorough.
634,The knowledge oOof the problem is qte thorough .,The knowledge of the problem is quite thorough.
635,de sinikng of the shippppppp wass very devious .,The sinking of the ship was very devious.
636,The sinking of the ship to collect theeeee nsranc ws very devious .,The sinking of the ship to collect the insurance was very devious.
637,The sisps Snkng was veryy devios .,The ships sinking was very devious.
638,The tstng of such drugs on OnesElf is to risky .,The testing of such drugs on oneself is too risky.
639,de shiiiiippp was sunkkk to collect the insrance .,The ship was sunk to collect the insurance.
640,This drug must first be tested on neslf .,This drug must first be tested on oneself.
641,Th presidents moral destruction is compleTe .,The presidents moral destruction is complete.
642,The moral dstruction of the prceident ws certianly not hlpful .,The moral destruction of the president was certainly not helpful.
643,Mry Watnsss to wr nice blu Gerrrman dresssss .,Mary wants to wear nice blue German dress.
644,Tomatoes were ntrdcd inn EuropE after 149222 .,Tomatoes were introduced in Europe after 1492.
645,We rich havee ipmeccbale taste .,We rich have impeccable taste.
646,I read hiss eevery bookkkk .,I read his every book.
647,Every boy named a planet .,Every boy named a planet.
648,I showed every by a planet .,I showed every boy a planet.
649,Few boys read any of the Books .,Few boys read any of the books.
650,I sohwed few bys anyyy of the booksss .,I showed few boys any of the books.
651,I was not reading a book when youuuu came in .,I was not reading a book when you came in.
652,AAAAAAA boy did nott lugh .,A boy did not laugh.
653,Most boys did not laugh .,Most boys did not laugh.
654,Every by named Mercury and Venus .,Every boy named Mercury and Venus.
655,Every boy namedddd every planet .,Every boy named every planet.
656,Each student speaks two languages .,Each student speaks two languages.
657,Two students speak eahchh language .,Two students speak each language.
658,Some touristss visitd all the museums .,Some tourists visited all the museums.
659,Fnd of sOMee boy every girl is .,Fond of some boy every girl is.
660,A critic dinks tht every book is readable .,A critic thinks that every book is readable.
661,Who des hee admiree ?,Who does he admire?
662,He admires very man .,He admires every man.
663,Who admiresss wht ?,Who admires what?
664,Somone froM every city h8es it .,Someone from every city hates it.
665,Some Profssr admires every stttudent .,Some professor admires every student.
666,Some professor adirss every student and hates thhhe dean .,Some professor admires every student and hates the dean.
667,Everyone repooretdd that Max and some lady disappeared .,Everyone reported that Max and some lady disappeared.
668,Most gUests will be ffened if we dont invite some philosopher .,Most guests will be offended if we dont invite some philosopher.
669,All students believe anything that mny teachers say .,All students believe anything that many teachers say.
670,wh wll Be offended if we dont nvte which philosopher ?,Who will be offended if we dont invite which philosopher?
671,Wh belives anythng that who sssssayssss ?,Who believes anything that who says?
672,exactly two boyss kisseD smmme girL .,Exactly two boys kissed some girl.
673,Mary daTes exactly two of the men whoooo know a producer I like .,Mary dates exactly two of the men who know a producer I like.
674,Every stdnt hass to cme uppP with three rgnts that show that some cccodtion Proposed by Billl is wrong .,Every student has to come up with three arguments that show that some condition proposed by Bill is wrong.
675,"If we invite Some phiilosopheeeer , Max will b oFfended .","If we invite some philosopher, Max will be offended."
676,Threee rlaetives f mine inhred a house .,Three relatives of mine inherited a house.
677,"If three relatives of mineeee die , I will inherit a house .","If three relatives of mine die, I will inherit a house."
678,Everyone attended someeE smeinar .,Everyone attended some seminar.
679,Exactly halff of the students attended some seminar .,Exactly half of the students attended some seminar.
680,More than three students attndeD very smnr .,More than three students attended every seminar.
681,Every student atteNDeddd more thnnnnnn three seminars .,Every student attended more than three seminars.
682,Every man lifteddd the table .,Every man lifted the table.
683,The men surroundeddd the fort .,The men surrounded the fort.
684,All the men surrounded ttheeeee fort .,All the men surrounded the fort.
685,The men liftd the tble togetherr .,The men lifted the table together.
686,A hudnred mmenn lifted the table together .,A hundred men lifted the table together.
687,All the men lifted the table together .,All the men lifted the table together.
688,Evry man lifted a taaable .,Every man lifted a table.
689,Each man lifted a tablEeeeeeE .,Each man lifted a table.
690,Someone attneedd every seminarr .,Someone attended every seminar.
691,More than two studetns attended every seminar .,More than two students attended every seminar.
692,You marred no oneee .,You married no one.
693,II will force yu to marry no one .,I will force you to marry no one.
694,Everyone had been worrying himself stiff .,Everyone had been worrying himself stiff.
695,Everonye who had been worrying himself stiff sad that h was relieved .,Everyone who had been worrying himself stiff said that he was relieved.
696,There were five touists in the rm apart from myself .,There were five tourists in the room apart from myself.
697,Physicists lik yourself are a gosdend .,Physicists like yourself are a godsend.
698,Max boasted tht the queen invtd Lucie and himself for a drink .,Max boasted that the queen invited Lucie and himself for a drink.
699,Whch pictures of him did Erl see ?,Which pictures of him did Earl see?
700,Which pictures f Erl did he see ?,Which pictures of Earl did he see?
701,Bill seems to himself 2 be handsom .,Bill seems to himself to be handsome.
702,Bll ses to him t be handsome .,Bill seems to him to be handsome.
703,Jhnn will see Which picture of himself ?,John will see which picture of himself?
704,Ech othersss hoss seem to theeeeeeeeeeeee women to be garish .,Each others houses seem to the women to be garish.
705,Each others houss appear 2 the women to be garish .,Each others houses appear to the women to be garish.
706,Thessse STories abot Himself worrY John mmoree dan anything else .,These stories about himself worry John more than anything else.
707,Wihch pictureee that John took tttttt the party did he dcide to dsiplay in his house ?,Which picture that John took at the party did he decide to display in his house?
708,Which report that John rvsd did he submit ?,Which report that John revised did he submit?
709,Mary aaalwayss preferss lemons to limes .,Mary always prefers lemons to limes.
710,Mary always has preferred lemns t limes .,Mary always has preferred lemons to limes.
711,The dogggg dat thee rat bit chased de cat .,The dog that the rat bit chased the cat.
712,Jean never raeds this nwspaper .,Jean never reads this newspaper.
713,A gun which I hadd clend went ff .,A gun which I had cleaned went off.
714,I gave a gun which I had cleanEd to myyyy brother .,I gave a gun which I had cleaned to my brother.
715,I gave a gun 2 my brother which I hd cleand .,I gave a gun to my brother which I had cleaned.
716,He lett the cats outtt whh weree whiniNg .,He let the cats out which were whining.
717,WhO did Mary see walking toward the railroad sTatin ?,Who did Mary see walking toward the railroad station?
718,Whomm did Mary see walKiNg toward de rlrod station ?,Whom did Mary see walking toward the railroad station?
719,Do yo know the boy wo Mary saw ?,Do you know the boy who Mary saw?
720,Doo yo knnnow the boyy whom Mary saww ?,Do you know the boy whom Mary saw?
721,Th gvernment prescribes the height of dE lettering on theee covers of the reports .,The government prescribes the height of the lettering on the covers of the reports.
722,Who did h expect to show up who I was acquainted with ?,Who did he expect to show up who I was acquainted with?
723,Whose bok did you find ?,Whose book did you find?
724,He will putt the chair between some table and some sofa .,He will put the chair between some table and some sofa.
725,I know wo is mad at John .,I know who is mad at John.
726,I knowww a by mad att John .,I know a boy mad at John.
727,Johnn is taller dan Dil .,John is taller than Dill.
728,John is taller tan Bill is .,John is taller than Bill is.
729,I wanttttt to go .,I want to go.
730,Shavng msef is diffIcult for me .,Shaving myself is difficult for me.
731,The shck tuched off the explosion .,The shock touched off the explosion.
732,The shock touched the exploSoin off .,The shock touched the explosion off.
733,I called almost all of theeee men from Boton up .,I called almost all of the men from Boston up.
734,I rn an oLd man downnn .,I ran an old man down.
735,He aaaattributedd the fire to a short circuit .,He attributed the fire to a short circuit.
736,He ttrbuted to a shrt circuit the fir which .,He attributed to a short circuit the fire which.
737,He thrw thee letter into the wastebasket .,He threw the letter into the wastebasket.
738,They disimssed the proposL as 2 costly .,They dismissed the proposal as too costly.
739,They dismissed as too cstoly the proposal 4 the Sttae t buiiildd a sidewalkk frommmmmm Dartomtuh to Smith .,They dismissed as too costly the proposal for the State to build a sidewalk from Dartmouth to Smith.
740,I found 2 be dlius some FruiT which I pikedd up on tHE way home .,I found to be delicious some fruit which I picked up on the way home.
741,II found delicious someeeee frut which I picked upp on my way home .,I found delicious some fruit which I picked up on my way home.
742,DD the fact tht John showed up please yo ?,Did the fact that John showed up please you?
743,i waNt the fact thattt Bill lft to remain a sercet .,I want the fact that Bill left to remain a secret.
744,I want it tt remain a secret thhatttt Bill lefttt .,I want it to remain a secret that Bill left.
745,What th thngg which I ate cost almost broke me .,What the thing which I ate cost almost broke me.
746,Wht the thing cost which I ate almost broke mee .,What the thing cost which I ate almost broke me.
747,III went out wth a girl who itttt pleased tht Jhn showed up .,I went out with a girl who it pleased that John showed up.
748,IIIIII lond a man who was watching theeeee race my BinoculArs .,I loaned a man who was watching the race my binoculars.
749,Shee sked A man who ws near theee wnw Whether it lookedd like rain .,She asked a man who was near the window whether it looked like rain.
750,He figured it out .,He figured it out.
751,He figred Ann out .,He figured Ann out.
752,He fgured something out .,He figured something out.
753,He figured the answer out .,He figured the answer out.
754,He figured out the answeR .,He figured out the answer.
755,I sent him that .,I sent him that.
756,I sent him something .,I sent him something.
757,They gaveee the reportssssss which he had brought wid himmm to mmme .,They gave the reports which he had brought with him to me.
758,I insist on seeing all thee sutENt throughhhh who startedd out the term n my class .,I insist on seeing all the student through who started out the term in my class.
759,Tom drives as that man does .,Tom drives as that man does.
760,2m drives lke That man .,Tom drives like that man.
761,I know a man who 2m drives likeeee .,I know a man who Tom drives like.
762,Tom drivsss the wayyy that thatt man drvies .,Tom drives the way that that man drives.
763,Toms drives the wy that that mAnnn does .,Toms drives the way that that man does.
764,John s taller than tht man is .,John is taller than that man is.
765,is tallr than that man .,is taller than that man.
766,John is as tall as that man .,John is as tall as that man.
767,I knw a man wwwwho John is as tall as .,I know a man who John is as tall as.
768,Mary haas never kissed a man who is taller than Jhn is .,Mary has never kissed a man who is taller than John is.
769,Mary hHhas never kisssssd a man who is taller than Jhn .,Mary has never kissed a man who is taller than John.
770,Mary has never kissed a Mann taller thann John .,Mary has never kissed a Man taller than John.
771,Maryyy has never kissEd s tall a mnn as John .,Mary has never kissed as tall a man as John.
772,de brave are not afraid to di .,The brave are not afraid to die.
773,Drowningg cats are hard to rescue .,Drowning cats are hard to rescue.
774,Drownng catssS is against the law .,Drowning cats is against the law.
775,I now a tller mannnnnnn than John .,I know a taller man than John.
776,The shooting of the prisoners shckoed me .,The shooting of the prisoners shocked me.
777,"He tOldd Peter that I Know a taller man than John , but Peter didnttt believe it .","He told Peter that I know a taller man than John, but Peter didnt believe it."
778,"III divulgedd whn BIll pRomsed to cll me , but I did so reluctantly .","I divulged when Bill promised to call me, but I did so reluctantly."
779,"Ill talk t John on Fridayyyyyy about the rprttt tht thee shooting of thee prisoners shocked me , and to hIs wife oN Satday .","Ill talk to John on Friday about the report that the shooting of the prisoners shocked me, and to his wife on Saturday."
780,I read aa statemntT which was abut thattt man .,I read a statement which was about that man.
781,I read aaaaaaaaaaaa sattement aboutttt dat mann .,I read a statement about that man.
782,Theeeee man whoo I rd a statement about is sck .,The man who I read a statement about is sick.
783,I read that Bll had seen me .,I read that Bill had seen me.
784,Evdnc that h was drunk will be presented .,Evidence that he was drunk will be presented.
785,Evidence will be presented tht he was drnk .,Evidence will be presented that he was drunk.
786,That thee defendant hadd been rude was stutly denied by his lawyer .,That the defendant had been rude was stoutly denied by his lawyer.
787,Bill told me something awful : tht ice wont snk .,Bill told me something awful: that ice wont sink.
788,This is a hat wich Im going to seee to iit that my wife buyss .,This is a hat which Im going to see to it that my wife buys.
789,This is a ht which Im going to se that my wife buys .,This is a hat which Im going to see that my wife buys.
790,Phineas knows a girl wh is jealousss of Maxime .,Phineas knows a girl who is jealous of Maxime.
791,Phineas knows a girl who s behind Maixme .,Phineas knows a girl who is behind Maxime.
792,Phneas knows a grl whooooo is wroking with Maxime .,Phineas knows a girl who is working with Maxime.
793,I bleieved the claim tht Otto was wearing this hat .,I believed the claim that Otto was wearing this hat.
794,I believeedddddd that Otto wassssss wearing this hat .,I believed that Otto was wearing this hat.
795,The hat which I bleeived that Otto was wearing s red .,The hat which I believed that Otto was wearing is red.
796,Rutherford undeerstandss himslf .,Rutherford understands himself.
797,The man who ordered ice cream said tHe pudding woUld be tasty .,The man who ordered ice cream said the pudding would be tasty.
798,de pudding which the man who ordered ice cream ssaiD wouldddd bee tasty was aa horrorr ShoW .,The pudding which the man who ordered ice cream said would be tasty was a horror show.
799,deeee man whoo ordred it said the pudding would bbe tasty .,The man who ordered it said the pudding would be tasty.
800,Tee sheirff Dened thhatt gangsters had bribed him .,The sheriff denied that gangsters had bribed him.
801,That gangsters had bribed hm was dneied by the sheriff .,That gangsters had bribed him was denied by the sheriff.
802,"The money which I have hopss tthatt the company willllllll squander amountssssss to $ 400,000 .","The money which I have hopes that the company will squander amounts to $400,000."
803,"The money whh IIII will have a chnce to squander amountsss to $ 400,000 .","The money which I will have a chance to squander amounts to $400,000."
804,"The mny wwhich I will make a propOSal for s to squander amounts ttto $ 400,000 .","The money which I will make a proposal for us to squander amounts to $400,000."
805,"The mOney which I willll make a prpoosal that we squdr amountss to $ 400,000 .","The money which I will make a proposal that we squander amounts to $400,000."
806,I ywned .,I yawned.
807,Sammmm progressed .,Sam progressed.
808,Bill gave me $ 40 .,Bill gave me $40.
809,IIII took a snooze .,I took a snooze.
810,Sam mad progreSs .,Sam made progress.
811,Billlll made a gift to me of $ 40 .,Bill made a gift to me of $40.
812,Mx gave the cr a shoeve .,Max gave the car a shove.
813,I have aaa feeling th88888 Arch will show up .,I have a feeling that Arch will show up.
814,Bob proved that this set is recursive .,Bob proved that this set is recursive.
815,Bob pproved this set iss RecUrsiVe .,Bob proved this set is recursive.
816,Theeee prooff datt thIs set s recrsve is diffclt .,The proof that this set is recursive is difficult.
817,I have hoPes dee copmany will sQuAnder teheeeeeee moneyy .,I have hopes the company will squander the money.
818,II haveee a feeling theee company will squner the money .,I have a feeling the company will squander the money.
819,Dicks claim that semantics is geneartive is preposterous .,Dicks claim that semantics is generative is preposterous.
820,We areee discussng theirrrr claim that flyingg saucers are real .,We are discussing their claim that flying saucers are real.
821,Myron is making the clm thattttt dead is better ttthan rd .,Myron is making the claim that dead is better than red.
822,The man whho wAs arreested by Officer Bob went mad .,The man who was arrested by Officer Bob went mad.
823,Jck is claiming that you wnttt need it .,Jack is claiming that you wont need it.
824,Jack is claiming you wont need it .,Jack is claiming you wont need it.
825,YYoure going to hurt yourself one of these days .,Youre going to hurt yourself one of these days.
826,I spoke to Bill about hismelf .,I spoke to Bill about himself.
827,I know a man who hates me .,I know a man who hates me.
828,I readd him tw statements bout HiMself .,I read him two statements about himself.
829,I know twooo men who are bhnd me .,I know two men who are behind me.
830,I know two mnnnnn behind me .,I know two men behind me.
831,You ae to flip wd people who are jealous of youuu .,You are too flip with people who are jealous of you.
832,I sremed at somee children who weree watchnggg meee .,I screamed at some children who were watching me.
833,I scramd 8 some chidrlen watching me .,I screamed at some children watching me.
834,"Irma washed the dishes , and Slly dried , anddd Floyd idled .","Irma washed the dishes, and Sally dried, and Floyd idled."
835,I went too the s2ree andddd bought some whiskyyy .,I went to the store and bought some whisky.
836,II went to thE stor and Nike bought some whisky .,I went to the store and Nike bought some whisky.
837,Herss the whsky which I went to theeee store and bought .,Heres the whisky which I went to the store and bought.
838,Heres the whisky which I wnt to the s2re nd Mike bought .,Heres the whisky which I went to the store and Mike bought.
839,Tny has a FFiat and yearns for a tall nurs .,Tony has a Fiat and yearns for a tall nurse.
840,I wnt toooooo tHE store and have bought sm excellnt whisky .,I went to the store and have bought some excellent whisky.
841,I went to the stoereee to buy some whisky .,I went to the store to buy some whisky.
842,Shes gone and ruind her dress nw .,Shes gone and ruined her dress now.
843,Ive gt 2 tryyyyyyy andd find that screw .,Ive got to try and find that screw.
844,Aunt h8tie wnts u to be nice anddddd kiss your granny .,Aunt Hattie wants you to be nice and kiss your granny.
845,The screw which Ive got to try and fNddd hhholds the dor to the frame .,The screw which Ive got to try and find holds the door to the frame.
846,Which granny does Aunt Hattie wNt mee to bee nice and kiss ?,Which granny does Aunt Hattie want me to be nice and kiss?
847,The boy works n a skyscraper and the girl in A quonett hut .,The boy works in a skyscraper and the girl in a quonset hut.
848,Th luScious chick who Billyyy went to the mmvess with will wed me re the morn .,The luscious chick who Billy went to the movies with will wed me ere the morn.
849,"The Frrr whcH Pietrooo , wohoo Sofia adores , boughttt from me cost him a bundle .","The Ferrari which Pietro, who Sofia adores, bought from me cost him a bundle."
850,"Sally might b preggGgnant , and evryone believes Shila definitely is prenant .","Sally might be pregnant, and everyone believes Sheila definitely is pregnant."
851,"Sally might be , andddd everyone blievs ShEiLa definitely is , prnant .","Sally might be, and everyone believes Sheila definitely is, pregnant."
852,"Tom picked these grapes , and I washed these grapes , anddd Suze will prpare these grpes .","Tom picked these grapes, and I washed these grapes, and Suzie will prepare these grapes."
853,"Tom picked , and II washeD , and SuzIe will prepare , these grapes .","Tom picked, and I washed, and Suzie will prepare, these grapes."
854,Stdnts who fail the finall exm or who do not do dDe reading will be eXecuted .,Students who fail the final exam or who do not do the reading will be executed.
855,Students who fal the finnal em will beeee exected or students who doo ntotttttTTt do the reading will bb executed .,Students who fail the final exam will be executed or students who do not do the reading will be executed.
856,Johnn has ben capttttturedd by the cops and Im afraid hell talk .,John has been captured by the cops and Im afraid hell talk.
857,I heated up the cffe and Slaly wipeddd the table off .,I heated up the coffee and Sally wiped the table off.
858,"althogh Bob my not b a nut , many peoPle have claimed it and I think so too .","Although Bob may not be a nut, many people have claimed it and I think so too."
859,When dd youu get backkkk and whatt did you bring me ?,When did you get back and what did you bring me?
860,Mke yourselfff comfortable .,Make yourself comfortable.
861,Did Merv show uup and didd you play chess ?,Did Merv show up and did you play chess?
862,Who ate wh8 ?,Who ate what?
863,What exploedd when ?,What exploded when?
864,Who gave what t whom ?,Who gave what to whom?
865,How longg did this fit ff generocity lastt and wHo gave what to whm ?,How long did this fit of generosity last and who gave what to whom?
866,Pleaseee mke yourself comffortable anddD Ill wash the dishes .,Please make yourself comfortable and Ill wash the dishes.
867,You please make yourself comfORtabble and Ill wash the disheS .,You please make yourself comfortable and Ill wash the dishes.
868,Harry will be in the Marines next yar and Hermannn was drafted last night .,Harry will be in the Marines next year and Herman was drafted last night.
869,Sasha is gbblng down dumplings faster than I can rehet them .,Sasha is gobbling down dumplings faster than I can reheat them.
870,II want 2 peruse tht cotract be4e filing it away .,I want to peruse that contract before filing it away.
871,Fred tore the curtainn in roiling it p .,Fred tore the curtain in roiling it up.
872,The curtain which freddd tore in rollng up was the kind gft of my m8ernal Antt Priscilla .,The curtain which Fred tore in rolling up was the kind gift of my maternal Aunt Priscilla.
873,IIII want tooo pruse d8 contract bfr damaging it while filingggggg t away .,I want to peruse that contract before damaging it while filing it away.
874,Sasha sssss gobbling dOwn duplngs fssster than I can reht the meaatballssss .,Sasha is gobbling down dumplings faster than I can reheat the meatballs.
875,I want to peruse that contract before filinggg away the deed .,I want to peruse that contract before filing away the deed.
876,Fred tore theeeeee curtain n rolling up the wallpapEr .,Fred tore the curtain in rolling up the wallpaper.
